Item,Reference(s),Value,Quantity,Description,PartNumber,Vendor
1,C1,10uF,1,CAP CER 10UF 50V 10% X7S 1210,445-4536-1-ND,digikey
2,C2,10uF_2917_POL,1,CAP TANT 10UF 35V 10% 2917,399-8527-1-ND,digikey
3,C3 C4 C5 C6 C7 C8,0.1uF,6,CAP CER 0.1UF 50V 10% X7R 1210,478-3586-1-ND,digikey
4,E1,ENCODER_62A11-02-P,1,ENCODER OPT 1/2in 32POS PB PC MNT,GH7384-ND,digikey
5,J1,JOYSTICK,1,Navigation Switch 2 Axis Digital,GH7455-ND,digikey
6,MDT1,MODULAR_DEVICE_TEENSY_MALE,2,16 Position Header Through Hole Male Pins,S1011E-16-ND,digikey
7,NHD1,NHD-ASC3-169,1,1.69in SERIAL COLOR OLED,NHD-1.69-160128ASC3-ND,digikey
8,S1,HEADER_01X02_SHR,1,CONN HEADER 2POS .100 VERT GOLD,WM4800-ND,digikey
9,SW1 SW2 SW3,KT_SWITCH,3,SWITCH TACTILE SPST-NO 1VA 32V,CKN1860CT-ND,digikey
10,U1 U2 U3 U4,MAX6817,4,IC DEBOUNCER SWITCH DUAL SOT23-6,MAX6817EUT+TCT-ND,digikey
